from_id,to_id,relationship_type,confidence,source_url,notes
TECH-ISO-ISO-10145-1-1993-1993,TECH-ISO-ISO-3338-1-1996-1996,references,source-confirmed,https://www.iso.org/standard/18139,Extracted from ISO source metadata text referencing ISO 3338-1.
TECH-ISO-ISO-10145-1-1993-1993,TECH-ISO-ISO-3338-2-2013-2013,references,source-confirmed,https://www.iso.org/standard/18139,Extracted from ISO source metadata text referencing ISO 3338-2.
TECH-ISO-ISO-10145-2-1993-1993,TECH-ISO-ISO-297-1988-1988,references,source-confirmed,https://www.iso.org/standard/18140,Extracted from ISO source metadata text referencing ISO 297.
TECH-ISO-ISO-10145-2-1993-1993,TECH-ISO-ISO-7388-1-2007-2007,references,source-confirmed,https://www.iso.org/standard/18140,Extracted from ISO source metadata text referencing ISO 7388-1.
TECH-ISO-ISO-10146-2019-2019,TECH-ISO-ISO-17855-1-2014-2014,references,source-confirmed,https://www.iso.org/standard/70973,Extracted from ISO source metadata text referencing ISO 17855-1.
TECH-ISO-ISO-10155-1995-1995,TECH-ISO-ISO-9096-2017-2017,references,source-confirmed,https://www.iso.org/standard/18150,Extracted from ISO source metadata text referencing ISO 9096.
TECH-ISO-ISO-10160-2015-2015,TECH-ISO-ISO-7498-1984-COR-1-1988-1988,references,source-confirmed,https://www.iso.org/standard/66169,Extracted from ISO source metadata text referencing ISO 7498.
TECH-ISO-ISO-10160-2015-2015,TECH-ISO-ISO-8649-1988-COR-1-1991-1991,references,source-confirmed,https://www.iso.org/standard/66169,Extracted from ISO source metadata text referencing ISO 8649.
TECH-ISO-ISO-10160-2015-2015,TECH-ISO-ISO-8822-1988-AMD-5-1992-1992,references,source-confirmed,https://www.iso.org/standard/66169,Extracted from ISO source metadata text referencing ISO 8822.
TECH-ISO-ISO-10161-2-2014-2014,TECH-ISO-ISO-IEC-WD-9646-0000,references,source-confirmed,https://www.iso.org/standard/66171,Extracted from ISO source metadata text referencing ISO/IEC 9646.
TECH-ISO-ISO-10162-1993-1993,TECH-ISO-ISO-7498-1984-COR-1-1988-1988,references,source-confirmed,https://www.iso.org/standard/18156,Extracted from ISO source metadata text referencing ISO 7498.
TECH-ISO-ISO-10162-1993-1993,TECH-ISO-ISO-8649-1988-COR-1-1991-1991,references,source-confirmed,https://www.iso.org/standard/18156,Extracted from ISO source metadata text referencing ISO 8649.
TECH-ISO-ISO-10162-1993-1993,TECH-ISO-ISO-8822-1988-AMD-5-1992-1992,references,source-confirmed,https://www.iso.org/standard/18156,Extracted from ISO source metadata text referencing ISO 8822.
TECH-ISO-ISO-10163-1-1993-1993,TECH-ISO-ISO-10162-1993-1993,references,source-confirmed,https://www.iso.org/standard/18157,Extracted from ISO source metadata text referencing ISO 10162.
TECH-ISO-ISO-1017-1985-1985,TECH-ISO-ISO-975-2021-2021,references,source-confirmed,https://www.iso.org/standard/5487,Extracted from ISO source metadata text referencing ISO 975.
TECH-ISO-ISO-10195-2018-2018,TECH-ISO-ISO-17075-2007-2007,references,source-confirmed,https://www.iso.org/standard/73378,Extracted from ISO source metadata text referencing ISO 17075.
TECH-ISO-ISO-10196-1990-1990,TECH-ISO-ISO-5457-1999-AMD-1-2010-2010,references,source-confirmed,https://www.iso.org/standard/18223,Extracted from ISO source metadata text referencing ISO 5457.
TECH-ISO-ISO-10196-1990-1990,TECH-ISO-ISO-6428-1982-1982,references,source-confirmed,https://www.iso.org/standard/18223,Extracted from ISO source metadata text referencing ISO 6428.
TECH-ISO-ISO-10196-2003-2003,TECH-ISO-ISO-5457-1999-AMD-1-2010-2010,references,source-confirmed,https://www.iso.org/standard/26764,Extracted from ISO source metadata text referencing ISO 5457.
